Creation_Date,Name,entry_force,directive,Product_name,Product_code,MRL,ApplicationDate,Footnotes_MRL,ApplicationDate2,NewMRL,Footnotes_sub
06/10/2016 08:47,,,,"Chards/beet leaves (Beetroot leaves, Swiss chards,)",252030,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Others,252990,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"(c) grape leaves and similar species (Climbing wattle/acacia shoots, Malabar nightshades,)",253000,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"(d) watercresses (Morning glory/Chinese convolvolus/water convolvolus/kangkung, Water clovers, Water mimosas,)",254000,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"(e) witloofs/Belgian endives (Dandelion leaves (forced),)",255000,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,(f) herbs and edible flowers,256000,0.02*,25/08/2014,,,,
06/10/2016 08:47,,,,Chervil,256010,0.02*,25/08/2014,,,,
06/10/2016 08:47,,,,"Chives (Chinese chives/oriental garlic/garlic chives, Ramson/wild garlic/bear's garlic,)",256020,0.02*,25/08/2014,,,,
06/10/2016 08:47,,,,"Celery leaves (Angelica (leaves and stems), Burnet, Caraway leaves, Coriander leaves, Culantro/false coriander leaves, Dill leaves, Fennel leaves, Fenugreek leaves, Herb of grace/rue, Lovage leaves, Pimpernel/greater burnet-saxifrage, Salad burnet/lady's mantle, Sorrel/dock, Sorrel/dock, Sorrel/dock, Sorrel/dock, Sweet cicely,)",256030,0.02*,25/08/2014,,,,
06/10/2016 08:47,,,,"Parsley (Root parsley leaves,)",256040,0.02*,25/08/2014,,,,
06/10/2016 08:47,,,,"Sage (Borage, Curry herb, Greek sage, Jam?'s sage/Mexican sage, Other species and hybrids of genus Salvia, not elsewhere mentioned,)",256050,0.02*,25/08/2014,,,,
06/10/2016 08:47,,,,"Rosemary (Santolina/green lavander cotton,)",256060,0.02*,25/08/2014,,,,
06/10/2016 08:47,,,,"Thyme (Creeping thyme, Cretan oregano/Turkish oregano, Lemon savory, Lemon thyme/citrus thyme, Marjoram, Mastic thyme, Oregano, Summer savory, Syrian oregano/bible hyssop/za'atar, Winter savory,)",256070,0.02*,25/08/2014,,,,
06/10/2016 08:47,,,,"Basil and edible flowers (Apple mint, Asiatic pennywort, Bergamot mint/eau-de-Cologne mint, Corsican mint, Courgette (edible flowers), Gingermint, Greek bush basil, Hoary basil, Holy basil/tulsi, Lemon balm, Lemon basil, Lesser calamint, Lizard tail/dap ca, Marigold (edible flowers), Marigold (edible flowers), Other species of the genus Tagetes, not elsewhere mentioned, Nasturtium (leaves and edible flowers), Nasturtium (leaves and edible flowers), Pennyroyal, Peppermint, Pot marigold (edible flowers), Rice paddy herb/phak ka yaeng, Spearmint, Thai basil, Vietnamese mint, Water mint, Other edible flowers, Other species and hybrids of genus Mentha, not elsewhere mentioned,)",256080,0.02*,25/08/2014,,,,
06/10/2016 08:47,,,,"Laurel/bay leave (Curry leaves, Kaffir lime leaves, Siamese cassia, Wild betel leaves,)",256090,0.02*,25/08/2014,,,,
06/10/2016 08:47,,,,"Tarragon (Aztec sweet herb, Epazote/Mexican tea/wormseed, Hyssop, Lemongrass, Mexican oregano, Nettle, Other species of the genus Urtica, not elsewhere mentioned, Russian tarragon, Stevia,)",256100,0.02*,25/08/2014,,,,
06/10/2016 08:47,,,,Others,256990,0.02*,25/08/2014,,,,
06/10/2016 08:47,,,,Legume vegetables,260000,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Beans (with pods) (Azuki beans, Black eyed peas/cowpeas, Broad beans/fava beans/horse beans/tic beans, Borlotti beans/cannelini beans/common beans/flageolets/French beans/slicing beans/snap beans, Ervils/lentil vetches, Guar beans, Jack beans, Lablab beans/hyacinth beans, Lima beans/butter beans, Monantha vetches, Mung beans, Rice beans, Runner beans/scarlet runner beans, Soyabeans/edamame, Stink beans, Vetches, Yardlong beans,)",260010,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Beans (without pods) (Azuki beans, Black eyed peas/cowpeas, Broad beans/fava beans/horse beans/tic beans, Borlotti beans/cannelini beans/common beans/flageolets/French beans/slicing beans/snap beans, Ervils/lentil vetches, Guar beans, Jack beans, Lablab beans/hyacinth beans, Lima beans/butter beans, Monantha vetches, Mung beans, Rice beans, Runner beans/scarlet runner beans, Soyabeans/edamame, Stink beans, Vetches, Yardlong beans,)",260020,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Peas (with pods) (Asparagus peas, Chickling vetches, Chickpeas/Bengal gram, Garden peas/green peas/mangetout/snow peas/split peas/sugar peas, Moringa/drumstick tree pods, Pigeon peas,)",260030,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Peas (without pods) (Asparagus peas, Chickling vetches, Chickpeas/Bengal gram, Garden peas/green peas/mangetout/snow peas/split peas/sugar peas, Moringa/drumstick tree pods, Pigeon peas,)",260040,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Lentils (Lupins/lupini beans, Lupins/lupini beans, Lupins/lupini beans, Lupins/lupini beans,)",260050,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Others,260990,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Stem vegetables,270000,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Asparagus (Hop sprouts,)",270010,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Cardoons (Borage stems,)",270020,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Celeries,270030,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Florence fennels,270040,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Globe artichokes (Banana flowers,)",270050,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Leeks (Kurrat/Egyptian leek,)",270060,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Rhubarbs,270070,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Bamboo shoots,270080,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Palm hearts,270090,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Others,270990,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Fungi, mosses and lichens",280000,0.01*,25/08/2014,,,,
